"Source:","/Users/phil/Documents/Kicad/arduinouno/arduinouno.sch"
"Date:","Sunday, 16 September 2018 at 09:47:21 pm"
"Tool:","Eeschema (5.0.0-3-g5ebb6b6)"
"Generator:","/private/var/folders/0l/vnx5ky0j3ts2193kl5yxnbs00000gn/T/AppTranslocation/A56F1F43-A0CA-4C13-8180-FD3DEFA6E32C/d/kicad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","108"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Digikey"
"11","4","FID1, FID2, FID3, FID4","FID_1MM","arduinouno:FID_1MM","arduinouno:FID_40x120M","",""
"12","2","J1, J3","M20-7820842","arduinouno:M20-7820842","arduinouno:8P_Header_Female_2.54mm","https://cdn.harwin.com/pdfs/M20-782.pdf","952-1823-ND"
"13","1","J2","M20-7820646","arduinouno:M20-7820646","arduinouno:6P_Header_Female_2.54mm","https://cdn.harwin.com/pdfs/M20-782.pdf","952-1809-ND"
"14","1","J4","M20-7821046","arduinouno:M20-7821046","arduinouno:10P_Header_Female_2.54mm","https://cdn.harwin.com/pdfs/M20-782.pdf","952-1847-ND"
"15","2","J5, J6","67997-106HLF","arduinouno:67997-106HLF","arduinouno:HDR_2x3_2.54mm","https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/67996.pdf","609-3393-ND"
"16","1","J7","10118193-0001LF","arduinouno:10118193-0001LF","arduinouno:10118193","https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/10118193.pdf","609-4616-1-ND"
"17","2","J8, J9","PAD_WITH_HOLE_4mmx1.5mm","arduinouno:PAD_WITH_HOLE_4mmx1.5mm","arduinouno:PAD_WITH_HOLE_4mmx1.5mm","",""
"18","2","JP1, JP4","68000-103HLF","arduinouno:68000-103HLF","arduinouno:3P_Header_2.54mm","https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/68000.pdf","609-3461-ND"
"19","1","JP2","68602-104HLF","arduinouno:68602-104HLF","arduinouno:HDR_2x2_2.54mm","https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/67996.pdf","609-3361-ND"
"20","1","JP3","68001-204HLF","arduinouno:68001-204HLF","arduinouno:4P_Header_2.54mm","https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/68000.pdf","609-3402-ND"
"21","1","L1","2u2|2A","arduinouno:L1210R2R2MDWIT","arduinouno:C1210_INDUCTOR","https://api.kemet.com/component-edge/download/datasheet/L1210R2R2MDWIT.pdf","399-9598-1-ND"
"22","3","LINK1, LINK2, LINK3","QPC02SXGN-RC","arduinouno:QPC02SXGN-RC","","https://drawings-pdf.s3.amazonaws.com/11510.pdf","S9337-ND"
